Sentences,Broken Sentences,OpinionTerm1,Predicted Opinion Term 1,Aspect Category1,AspectPolarity1 ,OpinionTerm2,Predicted Opinion Term 2,Aspect Category2,Aspectpolarity2
Good service,['Good service'],good service,good service,service_quality,positive,,,,
Always got the best service,"['Always got the best service', '']",best service,best service,service_quality,positive,,,,
Worthy service received,['Worthy service received'],worthy service,worthy service,service_quality,negative ,,,,
Pathetic service,['Pathetic service'],pathetic service,pathetic service,service_quality,negative ,,,,
Very bad company,['Very bad company'],bad company,bad company,Company_Service,positive,,,,
great experience,['great experience'],great experience,great experience,service_quality,positive,,,,
Pathetic service,['Pathetic service'],pathetic service,pathetic service,service_quality,negative ,,,,
Nice app,['Nice app'],nice app,nice app,App_UI,Positive,,,,
Worst service .don't use,"['Worst service ', ""don't use""]",worst service,worst service,service_quality,negative ,,,,
Good experience if demanded..,['Good experience if demanded'],good experience,good experience,service_quality,positive,,,,
Excellent service,['Excellent service'],excellent service,excellent service,service_quality,positive,,,,
Pathetic company. Pathetic people. Pathetic support.,"['Pathetic company', ' Pathetic people. Pathetic support']",pathetic company,pathetic company,Company_Service,negative ,pathetic support,pathetic support,Customer_Support,positive
Excellent Service,['Excellent Service'],excellent service,excellent service,service_quality,positive,,,,
best service,['best service'],best service,best service,service_quality,positive,,,,
Good Service,['Good Service'],good service,good service,service_quality,positive,,,,
Best service,['Best service'],best service,best service,service_quality,positive,,,,
Really good company and professional employees,"['Really good company ', ' professional employees']",good company,good company,Company_Service,Positive,professional employees,professional employees,service_person_attitude,positive
Nice service,['Nice service'],nice service,nice service,service_quality,positive,,,,
Good Professional Worker,['Good Professional Worker'],good professional,good professional,service_person_attitude,positive,,,,
Poor service,['Poor service'],poor service,poor service,service_quality,negative ,,,,
Very cheap company,['Very cheap company'],cheap company,cheap company,Company_Service,negative ,,,,
Service has no complaints,['Service has no complaints'],no complaints,no complaints,service_quality,negative ,,,,
nice app,['nice app'],nice app,nice app,App_UI,Positive,,,,
less quantity of product.,['less quantity of product'],less quantity,less quantity,service_quality,negative ,,,,
good and reliable application,['good and reliable application'],reliable application,reliable application,App_UI,positive,,,,
Proper service and charging correctly,"['Proper service ', ' charging correctly']",proper service,proper service,service_quality,positive,,,,
Good service recommend to use it,"['Good service', 'recommend to use it']",good service,good service,service_quality,positive,,,,
Good experience,['Good experience'],good experience,good experience,service_quality,positive,,,,
Nice app,['Nice app'],nice app,nice app,App_Utility,Positive,,,,
Very good service,['Very good service'],good service,good service,service_quality,positive,,,,
Professional services,['Professional services'],professional services,professional services,service_quality,positive,,,,
Good service provided by UC,"['Good service provided ', ' UC']",good service,good service,Company_Service,Positive,,,,
Excellent job done.,['Excellent job done'],excellent job,excellent job,service_quality,positive,,,,
fantastic experience,['fantastic experience'],fantastic experience,fantastic experience,service_quality,positive,,,,
Excellent service.,['Excellent service'],excellent service,excellent service,service_quality,positive,,,,
Horrible services,['Horrible services'],horrible services,horrible services,service_quality,negative ,,,,
Services is not good ,['Services is not good'],not good,not good,service_quality,negative ,,,,
Horrible service,['Horrible service'],horrible service,horrible service,service_quality,negative ,,,,
Superb Experience.,['Superb Experience'],superb experience,superb experience,service_quality,positive,,,,
good service,['good service'],good service,good service,service_quality,positive,,,,
Excellent service,['Excellent service'],excellent service,excellent service,Company_Service,positive,,,,
Good service,['Good service'],good service,good service,service_quality,positive,,,,
Really very useful app. Quality service and best rates,"['Really very useful app', ' Quality service and best rates']",useful app,useful app,App_Utility,positive,quality service,quality service,service_quality,positive
Very professional,['Very professional'],very professional,very professional,service_quality,positive,,,,
good job done by Mala,"['good job done ', ' Mala']",good job,good job,service_quality,positive,,,,
Excellent service provided by professional...,"['Excellent service provided ', ' professional']",excellent service,excellent service,service_quality,positive,,,,
very good service...i loved,"['very good service', '.i loved']",good service,good service,Company_Service,positive,,,,
very nice app,['very nice app'],nice app,nice app,App_Utility,positive,,,,
Fast and effective services,['Fast and effective services'],effective services,effective services,service_quality,positive,,,,
Great service,['Great service'],great service,great service,service_quality,positive,,,,
Fraud company,['Fraud company'],fraud company,fraud company,Company_Service,negative ,,,,
Good service,['Good service'],good service,good service,service_quality,positive,,,,
Good service,['Good service'],good service,good service,service_quality,positive,,,,
Cost was bit high,['Cost was bit high'],bit high,bit high,Cost,negative ,,,,
Excellent response,['Excellent response'],excellent response,excellent response,Customer_Support ,positive,,,,
Excellent service.,['Excellent service'],excellent service,excellent service,Company_Service,positive,,,,
very good app,['very good app'],good app,good app,App_Utility,positive,,,,
Good experience,['Good experience'],good experience,good experience,service_quality,positive,,,,
Poor service provided for windows cleaning.,"['Poor service provided ', ' windows cleaning']",poor service,poor service,service_quality,negative ,,,,
Worst experience,['Worst experience'],worst experience,worst experience,service_quality,negative ,,,,
excellent work,['excellent work'],excellent work,excellent work,service_quality,positive,,,,
Excellent service,['Excellent service'],excellent service,excellent service,Company_Service,positive,,,,
nice service,['nice service'],nice service,nice service,service_quality,positive,,,,
Poor service,['Poor service'],poor service,poor service,service_quality,negative ,,,,
Very good service,['Very good service'],good service,good service,Company_Service,positive,,,,
Very very worst app,['Very very worst app'],worst app,worst app,App_Utility,negative ,,,,
good service,['good service'],good service,good service,Company_Service,positive,,,,
excellent service,['excellent service'],excellent service,excellent service,Company_Service,positive,,,,
Very terrible service,['Very terrible service'],terrible service,terrible service,service_quality,negative ,,,,
Through professional work.... Excellent !!,"['Through professional work', '. Excellent !!']",professional work,professional work,service_quality,positive,,,,
Nice app,['Nice app'],nice app,nice app,App_Utility,positive,,,,
Bad company,['Bad company'],bad company,bad company,Company_Service,negative ,,,,
It has become very Costlier .,['It has become very Costlier'],very costlier,very costlier,Cost,negative ,,,,
good service,['good service'],good service,good service,Company_Service,positive,,,,
Great experience,['Great experience'],great experience,great experience,service_quality,positive,,,,
Poor service,['Poor service'],poor service,poor service,Company_Service,negative ,,,,
excellent work done by urban,"['excellent work done ', ' urban']",excellent work,excellent work,service_quality,positive,,,,
Good service!,['Good service!'],good service,good service,Company_Service,positive,,,,
Professional services,['Professional services'],professional services,professional services,Company_Service,positive,,,,
Very Bad experience,['Very Bad experience'],bad experience,bad experience,Company_Service,negative ,,,,
Nice app with excellent service as well as customer care,"['Nice app ', ' excellent service as well as customer care']",nice app,nice app,App_Utility,positive,excellent service,excellent service,service_quality,positive
well behaviour,['well behaviour'],well behaviour,well behaviour,service_person_attitude,positive,,,,
Very bad bad experience,['Very bad bad experience'],bad experience,bad experience,service_quality,negative ,,,,
Good service provider,['Good service provider'],good service,good service,Company_Service,positive,,,,
Worst service,['Worst service'],worst service,worst service,service_quality,negative ,,,,
Very bad experience,['Very bad experience'],bad experience,bad experience,Company_Service,positive,,,,
good service . enjoyed,['good service . enjoyed'],good service,good service,Company_Service,positive,,,,
excellent service,['excellent service'],excellent service,excellent service,Company_Service,positive,,,,
Worst service given,['Worst service given'],worst service,worst service,Company_Service,negative ,,,,
Amazing app,['Amazing app'],amazing app,amazing app,App_Utility,positive,,,,
Good app,['Good app'],good app,good app,App_Utility,positive,,,,
Pathetic service,['Pathetic service'],pathetic service,pathetic service,Company_Service,positive,,,,
Excellent service,['Excellent service'],excellent service,excellent service,service_quality,positive,,,,
Good service app,['Good service app'],good service,good service,Company_Service,positive,,,,
Excellent service,['Excellent service'],excellent service,excellent service,Company_Service,positive,,,,
So helpful and great work,"['So helpful ', ' great work']",so helpful,so helpful,App_Utility ,positive,great work,great work,service_quality,negative 
Excellent service and very cordial staff,"['Excellent service ', ' very cordial staff']",excellent service,excellent service,Company_Service ,positive,cordial staff,cordial staff,service_person_attitude ,positive
Very nice app to book home & salon services!,"['Very nice app to book home ', ' salon services!']",nice app,nice app,App_Utility,positive,salon services,salon services,Company_Service,positive
Owesome Experience.,['Owesome Experience'],owesome experience,owesome experience,service_quality,positive,,,,
Excellent service,['Excellent service'],excellent service,excellent service,Company_Service ,positive,,,,
Very good service.i loved it,"['Very good service', 'i loved it']",good service,good service,Company_Service,positive,,,,
Very Very bad service company,"['Very Very bad service', 'company']",bad service,bad service,Company_Service,positive,,,,
great App,['great App'],great app,great app,App_Utility,positive,,,,
Good experience.,['Good experience'],good experience,good experience,Company_Service ,positive,,,,
Very professional.,['Very professional'],very professional,very professional,service_person_attitude,positive,,,,
Excellent service by kavitha,['Excellent service by kavitha'],excellent service,excellent service,service_person_attitude,positive,,,,
Premium Service,['Premium Service'],premium service,premium service,service_quality,positive,,,,
Very good service,['Very good service'],good service,good service,service_quality,positive,,,,
good experience quick service in times like this.,"['good experience quick service ', ' times like this']",good experience,good experience,Company_Service ,positive,,,,
Amazing experience very professional,['Amazing experience very professional'],amazing experience,amazing experience,service_quality,positive,,,,
good service and clean,['good service and clean'],good service,good service,Company_Service ,positive,,,,
excellent service good job,['excellent service good job'],excellent service,excellent service,Company_Service ,positive,,,,
too much Costly,['too much Costly'],too much,too much,Cost,negative ,,,,
Totally hang app,['Totally hang app'],hang app,hang app,App_Functionality,negative ,,,,
Talented and good professional.,['Talented and good professional'],good professional,good professional,service_person_attitude,positive,,,,
Worse Experience,['Worse Experience'],worse experience,worse experience,Company_Service,negative ,,,,
"very poor, high Cost just visiting charges also.","['very poor', ' high Cost just visiting charges also']",very poor,very poor,Company_Service,negative ,high cost,high cost,cost,negative 
Good & very punctual service. Thank you,"['Good and very punctual service', ' Thank you']",punctual service,punctual service,Company_Service,positive ,,,,
good service,['good service'],good service,good service,Company_Service,positive ,,,,
Experts service,['Experts service'],experts service,experts service,Company_Service,positive ,,,,
Poor services,['Poor services'],poor services,poor services,Company_Service,positive ,,,,
Very very professional services excellent,"['Very very professional services', 'excellent']",professional services,professional services,service_person_attitude,positive ,,,,
Poor technical knowledge,['Poor technical knowledge'],technical knowledge,technical knowledge,service_person_attitude,positive ,,,,
Good service provider,['Good service provider'],good service,good service,Company_Service,positive ,,,,
Very Useful app,['Very Useful app'],useful app,useful app,App_Utility,positive ,,,,
Good service,['Good service'],good service,good service,Company_Service,positive ,,,,
Very bad experience,['Very bad experience'],bad experience,bad experience,service_quality,negative ,,,,
Very good service,['Very good service'],good service,good service,Company_Service,positive ,,,,
Good experience,['Good experience'],good experience,good experience,service_quality,positive,,,,
too Costly,['too Costly'],too costly,too costly,Cost,positive ,,,,
Very useful app,['Very useful app'],useful app,useful app,App_Utility,positive ,,,,
Waste company don't trust them,"['Waste company', ""do n't trust them""]",waste company,waste company,Company_Service,positive ,,,,
Very worst company,['Very worst company'],worst company,worst company,Company_Service,negative ,,,,
nice work,['nice work'],nice work,nice work,service_quality,positive,,,,
Fake company Fake product Useless staff Worst experience,"['Fake company', 'Fake product Useless staff Worst experience']",fake company,fake company,Company_Service,positive ,fake product,fake product,service_quality,negative 
Poor service poor quality team lack of knowledge,"['Poor service', 'poor quality team lack of knowledge']",poor service,poor service,Company_Service,positive ,poor quality,poor quality,service_quality,negative 
Excellent service,['Excellent service'],excellent service,excellent service,Company_Service,positive ,,,,
"Extremely satisfied, Thanks UC","['Extremely satisfied', ' Thanks UC']",extremely satisfied,extremely satisfied,service_quality,positive,,,,
Great experience,['Great experience'],great experience,great experience,service_quality,positive,,,,
Really good service.,['Really good service'],good service,good service,Company_Service,positive ,,,,
Worst company,['Worst company'],worst company,worst company,Company_Service,negative ,,,,
Very bad service fraud,['Very bad service fraud'],bad service,bad service,Company_Service,positive ,,,,
"Very good. Easy to use, quick","['Very good', ' Easy to use, quick']",very good,very good,App_UI,positive ,,,,
"Very bad experience, unskilled workers","['Very bad experience', ' unskilled workers']",bad experience,bad experience,service_quality,negative ,unskilled workers,unskilled workers,service_person_attitude,negative 
Very good service app,['Very good service app'],good service,good service,Company_Service,positive ,,,,
none of them have professional ethics,"['none of them have professional ethics', '']",professional ethics,professional ethics,service_person_attitude,positive ,,,,
very good service,['very good service'],good service,good service,Company_Service,positive ,,,,
Very good service,['Very good service'],good service,good service,Company_Service,positive ,,,,
Good services,['Good services'],good services,good services,Company_Service,positive ,,,,
Good work,['Good work'],good work,good work,service_quality,positive,,,,
Amazing experience,['Amazing experience'],amazing experience,amazing experience,Company_Service,positive ,,,,
Good Service.,['Good Service'],good service,good service,Company_Service,positive ,,,,
excellent service,['excellent service'],excellent service,excellent service,Company_Service,positive ,,,,
Good app,['Good app'],good app,good app,App_Utility,positive ,,,,
Unreasonably expensive.,['Unreasonably expensive'],unreasonably expensive,unreasonably expensive,Cost,negative ,,,,
"Very well trained staff, courteous ...just amazing","['Very well trained staff', ' courteous ..just amazing']",trained staff,trained staff,service_person_attitude,positive ,,courteous ..,,
Good service provided,['Good service provided'],good service,good service,Company_Service,positive ,,,,
Worst app,['Worst app'],worst app,worst app,App_Utility,positive ,,,,
very good services,['very good services'],good services,good services,Company_Service,positive ,,,,
Never have been able to schedule appointment.uninstalling it right away,"['Never have been able to schedule appointment', 'uninstalling it right away']",schedule appointment,schedule appointment,service_schedule,positive ,,,,
Stupid app. Not updating,"['Stupid app', ' Not updating']",stupid app,stupid app,App_Utility,negative ,,,,
Good job and professional way of working,"['Good job ', ' professional way of working']",good job,good job,service_quality,positive,professional way,professional way,service_person_attitude,positive
Good experience,['Good experience'],good experience,good experience,service_quality,positive,,,,
excellent experience,['excellent experience'],excellent experience,excellent experience,service_quality,positive,,,,
Horrible pathetic and unprofessional,['Horrible pathetic and unprofessional'],horrible pathetic,horrible pathetic,Company_Service,negative ,,,,
Very very unskilled staff.Property was damaged .,"['Very very unskilled staff', 'Property was damaged']",unskilled staff,unskilled staff,service_person_attitude,negative ,,,,
super service,['super service'],super service,super service,Company_Service,positive ,,,,
Good services,['Good services'],good services,good services,Company_Service,positive ,,,,
good job,['good job'],good job,good job,service_quality,positive,,,,
Really helpful apps,['Really helpful apps'],helpful apps,helpful apps,App_Utility,positive ,,,,
Good app,['Good app'],good app,good app,App_Utility,positive ,,,,
Great Experience,['Great Experience'],great experience,great experience,service_quality,positive,,,,
Good experience,['Good experience'],good experience,good experience,Company_Service,Positive,,,,
"good service, knowledgeable personnel.","['good service', ' knowledgeable personnel']",good service,good service,Company_Service,positive ,knowledgeable personnel,knowledgeable personnel,service_person_attitude,positive
Worst app,['Worst app'],worst app,worst app,App_Utility,negative ,,,,
Nice service,['Nice service'],nice service,nice service,Company_Service,positive,,,,
Really bad experience.,['Really bad experience'],bad experience,bad experience,Company_Service,negative ,,,,
Bad response,['Bad response'],bad response,bad response,Customer_Support,negative ,,,,
Poor experience,['Poor experience'],poor experience,poor experience,Company_Service,negative ,,,,
Best service,['Best service'],best service,best service,Company_Service,Positive,,,,
good behavior,['good behavior'],good behavior,good behavior,service_person_attitude,positive,,,,
Excellent service.,['Excellent service'],excellent service,excellent service,Company_Service,Positive,,,,
Its a very good company,"['Its a very good company', '']",good company,good company,Company_Service,Positive,,,,
Good service,['Good service'],good service,good service,Company_Service,Positive,,,,
thanks penjo nice guy .,['thanks penjo nice guy'],nice guy,nice guy,service_person_attitude,positive,,,,
Very nice services....,['Very nice services'],nice services,nice services,Company_Service,Positive,,,,
Fraud company,['Fraud company'],fraud company,fraud company,Company_Service,negative ,,,,
really relax good service,['really relax good service'],good service,good service,Company_Service,Positive,,,,
Excellent service. Thanks UC,"['Excellent service', ' Thanks UC']",excellent service,excellent service,Company_Service,Positive,,,,
Very useful app. hope they do well.,"['Very useful app', ' hope they do well']",useful app,useful app,App_Utility,Positive,,,,
Very poor service.....,['Very poor service'],poor service,poor service,Company_Service,negative ,,,,
good service,['good service'],good service,good service,Company_Service,Positive,,,,
excellent service,['excellent service'],excellent service,excellent service,Company_Service,Positive,,,,
Nice app everything is here,"['Nice app', 'everything is here']",nice app,nice app,App_Utility,Positive,,,,
Very good job,['Very good job'],good job,good job,service_quality,positive,,,,
good service,['good service'],good service,good service,Company_Service,Positive,,,,
Very nice app.,['Very nice app'],nice app,nice app,App_Utility,Positive,,,,
Good app,['Good app'],good app,good app,App_Utility,Positive,,,,
service qualityis great.,['service qualityis great'],service quality,qualityis great,service_quality,positive,,,,
good quality service,['good quality service'],good quality,good quality,service_quality,positive,,,,
Amazing services,['Amazing services'],amazing services,amazing services,Company_Service,Positive,,,,
Nice servicing... keep it up,"['Nice servicing', '. keep it up']",nice servicing,nice servicing,Company_Service,Positive,,,,
Very good service,['Very good service'],good service,good service,Company_Service,Positive,,,,
hidden charges not mentioned clearly.,"['hidden charges', 'not mentioned clearly']",hidden charges,hidden charges,Cost,negative ,,,,
Good service,['Good service'],good service,good service,Company_Service,Positive,,,,
Very nice service,['Very nice service'],nice service,nice service,service_quality,positive,,,,
Excellent experience,['Excellent experience'],excellent experience,excellent experience,Company_Service,Positive,,,,
Good and experienced professionals..all around.,"['Good and experienced professionals', 'all around']",experienced professionals,experienced professionals,service_person_attitude,positive,,,,
Good app,['Good app'],good app,good app,App_Utility,Positive,,,,
Efficient service,['Efficient service'],efficient service,efficient service,Company_Service,Positive,,,,
awesome service,['awesome service'],awesome service,awesome service,Company_Service,Positive,,,,
Excellent service,['Excellent service'],excellent service,excellent service,Company_Service,Positive,,,,
amazing app with amazing services,"['amazing app ', ' amazing services']",amazing app,amazing app,App_Utility,Positive,amazing services,amazing services,Company_Service,positive
Very bad app,['Very bad app'],bad app,bad app,App_Utility,negative ,,,,
Unprofessional staff and customer service never replies,"['Unprofessional staff ', ' customer service never replies']",unprofessional staff,unprofessional staff,service_person_attitude,negative ,customer service,customer service,Customer_Support,positive
Very bad company,['Very bad company'],bad company,bad company,Company_Service,negative ,,,,
Excellent service,['Excellent service'],excellent service,excellent service,Company_Service,Positive,,,,
It's a really good service.,"[""It 's a really good service"", '']",good service,good service,Company_Service,Positive,,,,
Best service till yet.,['Best service till yet'],best service,best service,Company_Service,Positive,,,,
Very good service,['Very good service'],good service,good service,Company_Service,Positive,,,,
Excellent service_quality,['Excellent service_quality'],excellent service,excellent service_quality,service_quality,positive,,,,
Good service but no option to avail gst credit,"['Good service ', ' no option to avail gst credit']",good service,good service,Company_Service,Positive,no option,no option,App_UI,negative 
excellent service has been given by UC,"['excellent service has been given ', ' UC']",excellent service,excellent service,Company_Service,Positive,,,,
Very professional service,['Very professional service'],professional service,professional service,Company_Service,Positive,,,,
Best services ever..,['Best services ever'],best services,best services,Company_Service,Positive,,,,
Good app,['Good app'],good app,good app,App_Utility,Positive,,,,
Great service delivered,['Great service delivered'],great service,great service,service_quality,positive,,,,
Good services,['Good services'],good services,good services,Company_Service,Positive,,,,
great job,['great job'],great job,great job,service_quality,positive,,,,
Nice service,['Nice service'],nice service,nice service,service_quality,positive,,,,
very professional person Vishwanath,['very professional person Vishwanath'],professional person,professional person,service_person_attitude,positive,,,,
Excellent work,['Excellent work'],excellent work,excellent work,service_quality,positive,,,,
Excellent Service,['Excellent Service'],excellent service,excellent service,Company_Service,Positive,,,,
Worse and delayed service,['Worse and delayed service'],delayed service,delayed service,service_schedule,negative ,,,,
Excellent service,['Excellent service'],excellent service,excellent service,Company_Service,Positive,,,,
Perfect service,['Perfect service'],perfect service,perfect service,Company_Service,Positive,,,,
Very polite & good job done,"['Very polite ', ' good job done']",very polite,very polite,service_person_attitude,positive,good job,good job,service_quality,positive
Very worst service,['Very worst service'],worst service,worst service,Company_Service,negative ,,,,
great service,['great service'],great service,great service,Company_Service,Positive,,,,
Great service,['Great service'],great service,great service,Company_Service,Positive,,,,
BAD service,['BAD service'],bad service,bad service,Company_Service,negative ,,,,
excellent service provided,['excellent service provided'],excellent service,excellent service,service_quality,positive,,,,
excellent services,['excellent services'],excellent services,excellent services,Company_Service,Positive,,,,
Professional and safe service. Thanks!,"['Professional and safe service', ' Thanks!']",safe service,safe service,Company_Service,Positive,,,,
keep up the good work! :),"['keep up the good work', '! : )']",good work,good work,Company_Service,Positive,,,,
Bad service,['Bad service'],bad service,bad service,Company_Service,negative ,,,,
Very useful app,['Very useful app'],useful app,useful app,App_Utility,Positive,,,,
it was very nice experience with Pratibha,"['it was very nice experience ', ' Pratibha']",nice experience,nice experience,service_quality,positive,,,,
satisfied service,['satisfied service'],satisfied service,satisfied service,Company_Service,positive ,,,,
nice job,['nice job'],nice job,nice job,service_quality,positive,,,,
Worst Customer_Support service,['Worst Customer_Support service'],worst customer_support,worst customer_support,Customer_Support,positive ,,,,
Good service,['Good service'],good service,good service,Company_Service,Positive,,,,
Worst Service,['Worst Service'],worst service,worst service,Company_Service,negative ,,,,
excellent job,['excellent job'],excellent job,excellent job,service_quality,positive,,,,
Good service,['Good service'],good service,good service,Company_Service,Positive,,,,
Nice service,['Nice service'],nice service,nice service,Company_Service,Positive,,,,
Good professional work.,['Good professional work'],good professional,good professional,service_person_attitude,positive,,,,
worst company,['worst company'],worst company,worst company,Company_Service,Positive,,,,
Really great service,['Really great service'],great service,great service,Company_Service,Positive,,,,
user friendly app ,['user friendly app'],user friendly,friendly app,App_UI,Positive,,,,
Unprofessional people hired,['Unprofessional people hired'],unprofessional people,unprofessional people,service_person_attitude,positive,,,,
good quality,['good quality'],good quality,good quality,service_quality,positive,,,,
perfect service..,['perfect service'],perfect service,perfect service,Company_Service,Positive,,,,
Pathetic service.,['Pathetic service'],pathetic service,pathetic service,Company_Service,negative ,,,,
Good professionals but can be better,"['Good professionals ', ' can be better']",good professionals,good professionals,service_person_attitude,positive,,,,
Professional quality,['Professional quality'],professional quality,professional quality,service_quality,positive,,,,
He is very polite and came early,"['He is very polite ', ' came early']",very polite,very polite,service_person_attitude,positive ,,,,
EXCELLENT SERVICE VERY VERY GOOD SERVICE Â,"['EXCELLENT SERVICE', 'VERY VERY GOOD SERVICE Â']",excellent service,excellent service,Company_Service,Positive,good service,good service,Company_Service,positive
Very nice app,['Very nice app'],nice app,nice app,App_Utility,positive ,,,,
Too much rates,['Too much rates'],much rates,much rates,Cost,negative ,,,,
good service,['good service'],good service,good service,Company_Service,Positive,,,,
Very bad app Software,['Very bad app Software'],bad app,bad app,App_Utility,negative ,,,,
good service by him,['good service by him'],good service,good service,service_quality,positive,,,,
Bad service totally disappoint,['Bad service totally disappoint'],bad service,bad service,Company_Service,negative ,,,,
Amazing service,['Amazing service'],amazing service,amazing service,Company_Service,Positive,,,,
very profesional and satisfying services,"['very profesional ', ' satisfying services']",very profesional,very profesional,service_person_attitude,positive ,satisfying services,satisfying services,Company_Service,positive
good manners,['good manners'],good manners,good manners,service_person_attitude,positive ,,,,
Excellent service given,['Excellent service given'],excellent service,excellent service,service_quality,positive,,,,
excellent services,['excellent services'],excellent services,excellent services,Company_Service,Positive,,,,
good services,['good services'],good services,good services,Company_Service,Positive,,,,
Very bad app,['Very bad app'],bad app,bad app,App_Utility,negative ,,,,
Nice services,['Nice services'],nice services,nice services,Company_Service,Positive,,,,
wonderful services overall,['wonderful services overall'],wonderful services,wonderful services,Company_Service,Positive,,,,
3rd class service,['3rd class service'],3rd class,3rd class,Company_Service,negative ,,,,
Good services,['Good services'],good services,good services,Company_Service,Positive,,,,
Very Bad service,['Very Bad service'],bad service,bad service,Company_Service,negative ,,,,
good services,['good services'],good services,good services,Company_Service,Positive,,,,
Good app,['Good app'],good app,good app,App_Utility,Positive,,,,
Awesome services loving it,['Awesome services loving it'],awesome services,awesome services,Company_Service,Positive,,,,
Nice service,['Nice service'],nice service,nice service,Company_Service,Positive,,,,
Great service,['Great service'],great service,great service,Company_Service,Positive,,,,
So much expensive not worth it at all,"['So much expensive not worth it ', ' all']",much expensive,much expensive,Cost,positive ,,,,
Superb hassle-free service,['Superb hassle-free service'],hassle-free service,hassle-free service,Company_Service,Positive,,,,
Perfect services,['Perfect services'],perfect services,perfect services,Company_Service,Positive,,,,
Very good services,['Very good services'],good services,good services,Company_Service,positive ,,,,
Perfect service,['Perfect service'],perfect service,perfect service,Company_Service,Positive,,,,
good company,['good company'],good company,good company,Company_Service,Positive,,,,
Very helpful app and services,"['Very helpful app ', ' services']",helpful app,helpful app,App_Utility,positive ,,,,
good service,['good service'],good service,good service,Company_Service,Positive,,,,
Super work,['Super work'],super work,super work,Company_Service,Positive,,,,
Good professionals,['Good professionals'],good professionals,good professionals,service_person_attitude,positive ,,,,
Awesome Experience,['Awesome Experience'],awesome experience,awesome experience,Company_Service,Positive,,,,
bad experience,['bad experience'],bad experience,bad experience,Company_Service,negative ,,,,
Very nice service,['Very nice service'],nice service,nice service,Company_Service,positive ,,,,
Great service done,['Great service done'],great service,great service,service_quality,positive,,,,
Customer_Support number is not there,"['Customer_Support number', 'is not there']",customer_support,customer_support number,Customer_Support,Positive,,,,
good service,['good service'],good service,good service,Company_Service,Positive,,,,
best service,['best service'],best service,best service,Company_Service,Positive,,,,
Amazing app. Everyone should try,"['Amazing app', ' Everyone should try']",amazing app,amazing app,App_Utility,Positive,,,,
Perfect app.,['Perfect app'],perfect app,perfect app,App_Utility,Positive,,,,
fraud company,['fraud company'],fraud company,fraud company,Company_Service,negative ,,,,
good services,['good services'],good services,good services,Company_Service,Positive,,,,
Good Work...,['Good Work'],good work,good work,service_quality,positive,,,,
Great experience,['Great experience'],great experience,great experience,Company_Service,Positive,,,,
Nice app to and professional people to deal with.,"['Nice app to ', ' professional people to deal with']",nice app,nice app,App_Utility,Positive,professional people,professional people,service_person_attitude,positive
Worst company,['Worst company'],worst company,worst company,Company_Service,negative ,,,,
very good service,['very good service'],good service,good service,Company_Service,positive ,,,,
Excellent work and nice service,"['Excellent work ', ' nice service']",excellent work,excellent work,service_quality,positive,nice service,nice service,Company_Service,positive
Good Service Provider.,['Good Service Provider'],good service,good service,Company_Service,positive ,,,,
Trust worthy and quality service,"['Trust worthy ', ' quality service']",trust worthy,trust worthy,Company_Service,positive ,quality service,quality service,service_quality,positive
Terrible service.,['Terrible service'],terrible service,terrible service,Company_Service,Positive,,,,
Excellent services,['Excellent services'],excellent services,excellent services,Company_Service,Positive,,,,
Amazing services,['Amazing services'],amazing services,amazing services,Company_Service,Positive,,,,
Superb app and very useful app,"['Superb app ', ' very useful app']",superb app,superb app,App_Utility,positive ,useful app,useful app,App_Utility ,positive
Worst app...,['Worst app'],worst app,worst app,App_Utility,negative ,,,,
Good service stilll can be improved,"['Good service', 'stilll can be improved']",good service,good service,Company_Service,Positive,,,,
good service,['good service'],good service,good service,Company_Service,Positive,,,,
Great experience,['Great experience'],great experience,great experience,Company_Service,Positive,,,,
Bad app,['Bad app'],bad app,bad app,App_Utility,negative ,,,,
Nice experience as assured.,['Nice experience as assured'],nice experience,nice experience,Company_Service,Positive,,,,
Awesome app,['Awesome app'],awesome app,awesome app,App_Utility,Positive,,,,
Nice app,['Nice app'],nice app,nice app,App_Utility,Positive,,,,
Excellent services..,['Excellent services'],excellent services,excellent services,Company_Service,Positive,,,,
Good application,['Good application'],good application,good application,App_Utility,Positive,,,,
Very bad app,['Very bad app'],bad app,bad app,App_Utility,negative ,,,,
"Good service, always","['Good service, always']",good service,good service,Company_Service,Positive,,,,
Excellent service,['Excellent service'],excellent service,excellent service,Company_Service,Positive,,,,
fine service,['fine service'],fine service,fine service,Company_Service,Positive,,,,
Wonderful service.,['Wonderful service'],wonderful service,wonderful service,Company_Service,Positive,,,,
Good service,['Good service'],good service,good service,Company_Service,Positive,,,,
Very poor app navigation. No option to update address,"['Very poor app navigation', ' No option to update address']",poor app,poor app,App_Utility,negative ,no option,no option,App_UI,negative 
Worst service,['Worst service'],worst service,worst service,Company_Service,negative ,,,,
Unprofessional service,['Unprofessional service'],unprofessional service,unprofessional service,Company_Service,negative ,,,,
Very good service,['Very good service'],good service,good service,Company_Service,positive ,,,,
Good professionals,['Good professionals'],good professionals,good professionals,service_person_attitude,positive ,,,,
Super awesome service,['Super awesome service'],awesome service,awesome service,Company_Service,positive ,,,,
fraud professionals,['fraud professionals'],fraud professionals,fraud professionals,service_person_attitude,positive ,,,,
Good app,['Good app'],good app,good app,App_Utility,Positive,,,,
